C01 TITLE: CO event sampling data 
C02 FILE NAME: poc9xxx00.noaa.am.fl.co.35n.ev.dat
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 213
C05 HEADER LINES: 32
C06 DATA VERSION: 
C07 STATION NAME: Pacific Ocean 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERITORY: UNITED STATES
C11 CONTRIBUTOR: NOAA/GMD
C12 LATITUDE:
C13 LONGITUDE:
C14 ALTITUDE: 10
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov,kenneth.masarie@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1988-08-14 2002-04-22
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: 
C23 SAMPLING TYPE: flask
C24 TIME ZONE: 
C25 MEASUREMENT SCALE: WMO CO scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1988-08-14 20:48 9999-99-99 99:99  35.000 -142.233 -9999.9 -99999.999 -9999 -99999.   *..  0 -99999999
1988-08-14 20:48 9999-99-99 99:99  35.000 -142.233 -9999.9 -99999.999 -9999 -99999.   *..  0 -99999999
1989-01-02 05:33 9999-99-99 99:99  35.250 -142.067 -9999.9    212.270 -9999 -99999.   W..  0 -99999999
1989-01-02 05:33 9999-99-99 99:99  35.250 -142.067 -9999.9    213.750 -9999 -99999.   W..  0 -99999999
1989-02-16 17:38 9999-99-99 99:99  35.950 -141.100 -9999.9 -99999.999 -9999 -99999.   *..  0 -99999999
1989-02-16 17:38 9999-99-99 99:99  35.950 -141.100 -9999.9 -99999.999 -9999 -99999.   *..  0 -99999999
1989-05-16 23:00 9999-99-99 99:99  35.000 -142.500 -9999.9    167.280 -9999 -99999.   W..  0 -99999999
1989-05-16 23:00 9999-99-99 99:99  35.000 -142.500 -9999.9    172.690 -9999 -99999.   W..  0 -99999999
1989-05-16 23:00 9999-99-99 99:99  35.000 -142.500 -9999.9 -99999.999 -9999 -99999.   *..  0 -99999999
1989-07-04 09:02 9999-99-99 99:99  35.000 -142.283 -9999.9    140.560 -9999 -99999.   W..  0 -99999999
1989-07-04 09:02 9999-99-99 99:99  35.000 -142.283 -9999.9    148.360 -9999 -99999.   W..  0 -99999999
1989-08-25 08:10 9999-99-99 99:99  35.000 -142.483 -9999.9    174.240 -9999 -99999.   W..  0 -99999999
1989-08-25 08:10 9999-99-99 99:99  35.000 -142.483 -9999.9    174.400 -9999 -99999.   W..  0 -99999999
1990-01-18 19:55 9999-99-99 99:99  35.000 -142.283 -9999.9    163.380 -9999 -99999.   W..  0 -99999999
