C01 TITLE: CO event sampling data 
C02 FILE NAME: san999900.ipen.am.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 989
C05 HEADER LINES: 32
C06 DATA VERSION: 201203
C07 STATION NAME: Santarem 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: Brazil
C11 CONTRIBUTOR: IPEN
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: lvgatti@gmail.com
C18 PARAMETER: CO
C19 COVERING PERIOD: 2007-01-16 2009-12-31
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (other)
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO molefraction scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
2007-01-16 16:39 9999-99-99 99:99  -2.850  -54.950  4267.2     106.77 -9999 -99999.   ...  0 -99999999
2007-01-16 16:44 9999-99-99 99:99  -2.850  -54.950  3962.4     110.22 -9999 -99999.   ...  0 -99999999
2007-01-16 16:48 9999-99-99 99:99  -2.850  -54.950  3657.6     102.57 -9999 -99999.   ...  0 -99999999
2007-01-16 16:54 9999-99-99 99:99  -2.850  -54.950  3352.8     124.73 -9999 -99999.   ...  0 -99999999
2007-01-16 16:58 9999-99-99 99:99  -2.850  -54.950  3048.0     158.53 -9999 -99999.   ...  0 -99999999
2007-01-16 17:03 9999-99-99 99:99  -2.850  -54.950  2590.8     174.69 -9999 -99999.   ...  0 -99999999
2007-01-16 17:08 9999-99-99 99:99  -2.850  -54.950  2133.6     185.97 -9999 -99999.   ...  0 -99999999
2007-01-16 17:12 9999-99-99 99:99  -2.850  -54.950  1828.8     203.62 -9999 -99999.   ...  0 -99999999
2007-01-16 17:16 9999-99-99 99:99  -2.850  -54.950  1524.0     211.67 -9999 -99999.   ...  0 -99999999
2007-01-16 17:20 9999-99-99 99:99  -2.850  -54.950  1219.2     219.04 -9999 -99999.   ...  0 -99999999
2007-01-16 17:23 9999-99-99 99:99  -2.850  -54.950  1066.8     225.82 -9999 -99999.   ...  0 -99999999
