C01 TITLE: CO event sampling data 
C02 FILE NAME: scs9xxx00.noaa.am.fl.co.12n.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 505
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: South China Sea 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 15
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1991-07-06 1998-10-10
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1991-07-06 22:53 9999-99-99 99:99  11.980  112.220    20.0     90.770 -9999 -99999.   ...  0   3304-66
1991-07-06 22:53 9999-99-99 99:99  11.980  112.220    20.0     92.050 -9999 -99999.   ...  0   3304-66
1991-07-11 20:54 9999-99-99 99:99  12.020  110.250    20.0    111.490 -9999 -99999.   ...  0   3298-66
1991-07-11 20:54 9999-99-99 99:99  12.020  110.250    20.0    111.460 -9999 -99999.   ...  0   3298-66
1991-07-19 12:30 9999-99-99 99:99  12.050  110.400    20.0    109.130 -9999 -99999.   ...  0   3284-66
1991-07-19 12:30 9999-99-99 99:99  12.050  110.400    20.0    108.310 -9999 -99999.   ...  0   3284-66
1991-07-24 21:56 9999-99-99 99:99  12.000  110.230    20.0    102.590 -9999 -99999.   ...  0   3262-66
1991-07-24 21:56 9999-99-99 99:99  12.000  110.230    20.0    101.600 -9999 -99999.   ...  0   3262-66
1991-07-31 20:19 9999-99-99 99:99  12.030  111.150    20.0    166.510 -9999 -99999.   ...  0   2328-66
1991-07-31 20:19 9999-99-99 99:99  12.030  111.150    20.0    166.830 -9999 -99999.   ...  0   2328-66
1991-08-06 02:55 9999-99-99 99:99  11.850  110.320    20.0    111.550 -9999 -99999.   ...  0   3050-66
1991-08-06 02:55 9999-99-99 99:99  11.850  110.320    20.0    110.450 -9999 -99999.   ...  0   3050-66
