C01 TITLE: CO event sampling data 
C02 FILE NAME: drp999900.noaa.am.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 574
C05 HEADER LINES: 38
C06 DATA VERSION: 201708
C07 STATION NAME: Drake Passage 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 2003-04-07 2016-12-16
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale  
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: National Science Foundation [NSF]
C37 # comment: 
C38   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
2003-04-07 13:54 9999-99-99 99:99 -57.650  -64.180    10.0     46.990 -9999 -99999.   ...  0    167-98
2003-04-07 13:54 9999-99-99 99:99 -57.650  -64.180    10.0     47.250 -9999 -99999.   ...  0    168-98
2003-04-16 12:19 9999-99-99 99:99 -62.370  -54.070    10.0     48.010 -9999 -99999.   ...  0    677-91
2003-04-16 12:24 9999-99-99 99:99 -62.370  -54.070    10.0     49.110 -9999 -99999.   ...  0    127-99
2003-04-16 12:24 9999-99-99 99:99 -62.370  -54.070    10.0     46.980 -9999 -99999.   ...  0    128-99
2003-04-16 19:15 9999-99-99 99:99 -62.130  -51.430    10.0     47.670 -9999 -99999.   ...  0    678-91
2003-04-16 19:20 9999-99-99 99:99 -62.130  -51.430    10.0     47.600 -9999 -99999.   ...  0   1143-91
2003-04-16 19:20 9999-99-99 99:99 -62.130  -51.430    10.0     47.350 -9999 -99999.   ...  0   1144-91
2003-04-17 02:08 9999-99-99 99:99 -61.780  -49.650    10.0     47.300 -9999 -99999.   ...  0   1013-99
2003-04-17 02:08 9999-99-99 99:99 -61.780  -49.650    10.0     47.330 -9999 -99999.   ...  0   1014-99
2003-04-18 00:01 9999-99-99 99:99 -61.180  -44.020    10.0     48.170 -9999 -99999.   ...  0   4215-91
2003-04-18 00:04 9999-99-99 99:99 -61.180  -44.020    10.0     48.320 -9999 -99999.   ...  0    381-91
2003-04-18 00:04 9999-99-99 99:99 -61.180  -44.020    10.0     47.200 -9999 -99999.   ...  0    382-91
