C01 TITLE: CO event sampling data 
C02 FILE NAME: tac652n00.univbris.as.cn.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 7870
C05 HEADER LINES: 32
C06 DATA VERSION: 201311
C07 STATION NAME: Tacolneston Tall Tower 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United Kingdom of Great Britain and Northern Ireland
C11 CONTRIBUTOR: UNIVBRIS
C12 LATITUDE: 52.5177
C13 LONGITUDE: 1.1386
C14 ALTITUDE: 56
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 100
C17 CONTACT POINT: s.doherty@bristol.ac.uk aoife.grant@bristol.ac.uk
C18 PARAMETER: CO
C19 COVERING PERIOD: 2012-07-25 2012-11-04
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO reduction/UV absorption
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: CSIRO-94
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:The data were submitted to WDCGG by ACTRIS Data Centre.
C31
C32   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
2012-07-25 17:36 2012-07-25 17:36    151.863 -9999 -99999.   000  0 -99999999
2012-07-25 17:56 2012-07-25 17:56    160.794 -9999 -99999.   000  0 -99999999
2012-07-25 18:25 2012-07-25 18:25    185.543 -9999 -99999.   000  0 -99999999
2012-07-25 19:06 2012-07-25 19:06    187.426 -9999 -99999.   000  0 -99999999
2012-07-25 19:26 2012-07-25 19:26    183.063 -9999 -99999.   000  0 -99999999
2012-07-25 19:45 2012-07-25 19:45    175.442 -9999 -99999.   000  0 -99999999
2012-07-25 20:05 2012-07-25 20:05    171.062 -9999 -99999.   000  0 -99999999
2012-07-25 20:26 2012-07-25 20:26    184.318 -9999 -99999.   000  0 -99999999
2012-07-25 21:05 2012-07-25 21:05    156.084 -9999 -99999.   000  0 -99999999
2012-07-25 21:25 2012-07-25 21:25    159.671 -9999 -99999.   000  0 -99999999
2012-07-25 21:45 2012-07-25 21:45    164.933 -9999 -99999.   000  0 -99999999
2012-07-25 22:06 2012-07-25 22:06    159.440 -9999 -99999.   000  0 -99999999
2012-07-25 22:26 2012-07-25 22:26    164.547 -9999 -99999.   000  0 -99999999
2012-07-25 23:05 2012-07-25 23:05    154.572 -9999 -99999.   000  0 -99999999
2012-07-25 23:26 2012-07-25 23:26    149.488 -9999 -99999.   000  0 -99999999
2012-07-25 23:46 2012-07-25 23:46    149.433 -9999 -99999.   000  0 -99999999
2012-07-26 00:05 2012-07-26 00:05    146.053 -9999 -99999.   000  0 -99999999
