C01 TITLE: CO event sampling data 
C02 FILE NAME: poc9xxx00.noaa.am.fl.co.30s.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 903
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: Pacific Ocean 
C08 STATION CATEGORY: 
C09 OBSERVATION CATEGORY: Air sampling observation by a mobile platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 
C13 LONGITUDE: 
C14 ALTITUDE: 10
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1988-07-22 2016-12-28
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME     LAT      LON     ALT         CO    ND      SD     F CS       REM
1988-07-22 20:15 9999-99-99 99:99 -30.100 -179.920    20.0 -99999.999 -9999 -99999.   R..  0   3006-86
1988-07-22 20:15 9999-99-99 99:99 -30.100 -179.920    20.0 -99999.999 -9999 -99999.   R..  0   3006-86
1988-08-02 14:30 9999-99-99 99:99 -30.000  178.200    20.0    102.850 -9999 -99999.   R..  0   3162-86
1988-08-02 14:30 9999-99-99 99:99 -30.000  178.200    20.0    107.620 -9999 -99999.   R..  0   3162-86
1989-01-25 07:35 9999-99-99 99:99 -31.530  175.850    20.0 -99999.999 -9999 -99999.   *..  0   3084-70
1989-01-25 07:35 9999-99-99 99:99 -31.530  175.850    20.0 -99999.999 -9999 -99999.   *..  0   3084-70
1989-01-25 07:35 9999-99-99 99:99 -31.530  175.850    20.0 -99999.999 -9999 -99999.   *..  0   3084-70
1989-02-05 22:50 9999-99-99 99:99 -30.000  178.150    20.0 -99999.999 -9999 -99999.   *..  0   3105-70
1989-02-05 22:50 9999-99-99 99:99 -30.000  178.150    20.0 -99999.999 -9999 -99999.   *..  0   3105-70
1989-05-05 10:22 9999-99-99 99:99 -30.000  178.220    20.0    103.490 -9999 -99999.   W..  0   3096-70
1989-05-05 10:22 9999-99-99 99:99 -30.000  178.220    20.0    100.210 -9999 -99999.   W..  0   3096-70
1989-05-05 10:22 9999-99-99 99:99 -30.000  178.220    20.0     98.370 -9999 -99999.   W..  0   3096-70
1989-06-11 00:03 9999-99-99 99:99 -30.650  176.030    20.0    108.630 -9999 -99999.   W..  0   3130-70
1989-06-11 00:03 9999-99-99 99:99 -30.650  176.030    20.0    112.330 -9999 -99999.   W..  0   3130-70
1989-06-22 08:20 9999-99-99 99:99 -30.000  178.280    20.0     89.350 -9999 -99999.   W..  0   3224-70
1989-06-22 08:20 9999-99-99 99:99 -30.000  178.280    20.0     90.060 -9999 -99999.   W..  0   3224-70
1989-07-25 20:45 9999-99-99 99:99 -30.000 -179.980    20.0    110.390 -9999 -99999.   W..  0   3184-70
1989-07-25 20:45 9999-99-99 99:99 -30.000 -179.980    20.0    108.470 -9999 -99999.   W..  0   3184-70
1989-08-13 20:00 9999-99-99 99:99 -30.000  178.220    20.0    114.190 -9999 -99999.   W..  0   3096-70
1989-08-13 20:00 9999-99-99 99:99 -30.000  178.220    20.0    113.330 -9999 -99999.   W..  0   3096-70
1989-09-17 18:05 9999-99-99 99:99 -29.620  176.080    20.0    129.640 -9999 -99999.   W..  0   3144-70
1989-09-17 18:05 9999-99-99 99:99 -29.620  176.080    20.0    117.450 -9999 -99999.   W..  0   3144-70
1989-09-28 09:45 9999-99-99 99:99 -30.000  176.050    20.0    137.090 -9999 -99999.   W..  0   3152-70
1989-09-28 09:45 9999-99-99 99:99 -30.000  176.050    20.0    139.100 -9999 -99999.   W..  0   3152-70
1989-11-08 14:30 9999-99-99 99:99 -30.000  176.050    20.0    111.040 -9999 -99999.   W..  0   3028-70
1989-11-08 14:30 9999-99-99 99:99 -30.000  176.050    20.0    110.850 -9999 -99999.   W..  0   3028-70
1989-11-21 10:50 9999-99-99 99:99 -30.000  178.250    20.0    190.320 -9999 -99999.   W..  0   3012-70
1989-11-21 10:50 9999-99-99 99:99 -30.000  178.250    20.0    189.350 -9999 -99999.   W..  0   3012-70
1990-01-07 06:10 9999-99-99 99:99 -30.000  178.130    20.0     83.050 -9999 -99999.   W..  0   3066-70
1990-01-07 06:10 9999-99-99 99:99 -30.000  178.130    20.0     81.510 -9999 -99999.   W..  0   3066-70
1990-02-10 09:00 9999-99-99 99:99 -30.000  179.600    20.0     99.170 -9999 -99999.   W..  0   3054-70
1990-02-10 09:00 9999-99-99 99:99 -30.000  179.600    20.0    100.680 -9999 -99999.   W..  0   3054-70
1990-02-22 21:46 9999-99-99 99:99 -30.000 -172.180    20.0     84.480 -9999 -99999.   W..  0   3046-70
1990-02-22 21:46 9999-99-99 99:99 -30.000 -172.180    20.0     83.340 -9999 -99999.   W..  0   3046-70
1990-06-05 18:53 9999-99-99 99:99 -30.000  176.200    20.0     57.740 -9999 -99999.   .X.  0   6058-66
1990-06-05 18:53 9999-99-99 99:99 -30.000  176.200    20.0     58.280 -9999 -99999.   .X.  0   6058-66
1990-06-18 19:43 9999-99-99 99:99 -30.000 -176.100    20.0     72.570 -9999 -99999.   ...  0   6010-66
1990-06-18 19:43 9999-99-99 99:99 -30.000 -176.100    20.0     69.710 -9999 -99999.   ...  0   6010-66
1990-06-18 19:43 9999-99-99 99:99 -30.000 -176.100    20.0     68.540 -9999 -99999.   ...  0   6010-66
1990-07-22 22:16 9999-99-99 99:99 -29.970  176.230    20.0     95.130 -9999 -99999.   .X.  0   6166-66
1990-07-22 22:16 9999-99-99 99:99 -29.970  176.230    20.0     97.240 -9999 -99999.   .X.  0   6166-66
1990-07-30 12:34 9999-99-99 99:99 -30.000  178.430    20.0     65.630 -9999 -99999.   ...  0   6146-66
1990-07-30 12:34 9999-99-99 99:99 -30.000  178.430    20.0     67.320 -9999 -99999.   ...  0   6146-66
1990-09-06 13:18 9999-99-99 99:99 -30.000  176.350    20.0     74.130 -9999 -99999.   ...  0   6182-66
1990-09-06 13:18 9999-99-99 99:99 -30.000  176.350    20.0     73.410 -9999 -99999.   ...  0   6182-66
1990-09-17 12:07 9999-99-99 99:99 -30.000  178.270    20.0 -99999.999 -9999 -99999.   *..  0   6184-66
1990-09-17 12:07 9999-99-99 99:99 -30.000  178.270    20.0     72.700 -9999 -99999.   ...  0   6184-66
1990-10-11 05:20 9999-99-99 99:99 -30.000  179.370    20.0    100.080 -9999 -99999.   W..  0   3119-70
1990-10-11 05:20 9999-99-99 99:99 -30.000  179.370    20.0     99.380 -9999 -99999.   W..  0   3119-70
1990-10-20 11:30 9999-99-99 99:99 -30.000 -176.000    20.0    108.140 -9999 -99999.   W..  0   3133-70
1990-10-20 11:30 9999-99-99 99:99 -30.000 -176.000    20.0    107.990 -9999 -99999.   W..  0   3133-70
1990-10-25 02:30 9999-99-99 99:99 -30.080  176.280    20.0 -99999.999 -9999 -99999.   *..  0   6064-66
1990-10-25 02:30 9999-99-99 99:99 -30.080  176.280    20.0     75.700 -9999 -99999.   ...  0   6064-66
1990-11-07 01:18 9999-99-99 99:99 -30.000  176.230    20.0     73.980 -9999 -99999.   ...  0   6036-66
1990-11-07 01:18 9999-99-99 99:99 -30.000  176.230    20.0     72.920 -9999 -99999.   ...  0   6036-66
1990-11-27 15:00 9999-99-99 99:99 -30.000  179.050    20.0    112.890 -9999 -99999.   W..  0   3188-70
1990-11-27 15:00 9999-99-99 99:99 -30.000  179.050    20.0    111.770 -9999 -99999.   W..  0   3188-70
1990-12-09 20:33 9999-99-99 99:99 -30.000 -171.700    20.0    128.140 -9999 -99999.   W..  0   3044-70
1990-12-09 20:33 9999-99-99 99:99 -30.000 -171.700    20.0    126.500 -9999 -99999.   W..  0   3044-70
1990-12-18 20:10 9999-99-99 99:99 -30.000  176.150    20.0     62.640 -9999 -99999.   ...  0   6051-66
1990-12-18 20:10 9999-99-99 99:99 -30.000  176.150    20.0     61.710 -9999 -99999.   ...  0   6051-66
1991-01-15 19:40 9999-99-99 99:99 -30.000  176.100    20.0     94.690 -9999 -99999.   W..  0   3030-70
1991-01-15 19:40 9999-99-99 99:99 -30.000  176.100    20.0     95.150 -9999 -99999.   W..  0   3030-70
1991-01-26 09:31 9999-99-99 99:99 -30.000  176.000    20.0    100.990 -9999 -99999.   W..  0   3152-70
1991-01-26 09:31 9999-99-99 99:99 -30.000  176.000    20.0    100.220 -9999 -99999.   W..  0   3152-70
