C01 TITLE: CO event sampling data 
C02 FILE NAME: cmo445n00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 405
C05 HEADER LINES: 39
C06 DATA VERSION: 201708
C07 STATION NAME: Cape Meares 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 45.47
C13 LONGITUDE: -123.97
C14 ALTITUDE: 30
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 1990-11-30 1998-03-18
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: Oregon Graduate Institute of Science and
C37 # collaborator_name: Technology [OGIST]
C38 # comment: 
C39   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1990-11-30 23:05 9999-99-99 99:99    178.010 -9999 -99999.   W..  0    911-81
1990-11-30 23:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    911-81
1990-11-30 23:05 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    912-81
1990-12-06 23:15 9999-99-99 99:99    202.710 -9999 -99999.   W..  0   1450-81
1990-12-06 23:15 9999-99-99 99:99    197.880 -9999 -99999.   W..  0   1450-81
1990-12-13 23:10 9999-99-99 99:99    181.390 -9999 -99999.   W..  0    826-81
1990-12-13 23:10 9999-99-99 99:99    176.760 -9999 -99999.   W..  0    826-81
1990-12-27 22:55 9999-99-99 99:99    207.890 -9999 -99999.   W..  0   1564-81
1990-12-27 22:55 9999-99-99 99:99    214.110 -9999 -99999.   W..  0   1564-81
1991-01-07 23:30 9999-99-99 99:99    144.720 -9999 -99999.   W..  0   1226-81
1991-01-07 23:30 9999-99-99 99:99    145.400 -9999 -99999.   W..  0   1226-81
1991-01-13 23:20 9999-99-99 99:99    123.930 -9999 -99999.   W..  0   1184-81
1991-01-13 23:20 9999-99-99 99:99    123.500 -9999 -99999.   W..  0   1184-81
1991-01-23 20:30 9999-99-99 99:99    209.500 -9999 -99999.   W..  0    540-81
1991-01-23 20:30 9999-99-99 99:99    210.240 -9999 -99999.   W..  0    540-81
1991-01-31 23:45 9999-99-99 99:99    238.490 -9999 -99999.   W.C  0   1176-81
1991-01-31 23:45 9999-99-99 99:99    240.030 -9999 -99999.   W.C  0   1176-81
1991-02-07 21:30 9999-99-99 99:99    197.260 -9999 -99999.   W..  0   1350-81
1991-02-07 21:30 9999-99-99 99:99    206.250 -9999 -99999.   W..  0   1350-81
1991-02-18 23:20 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0    892-81
1991-02-18 23:20 9999-99-99 99:99    207.150 -9999 -99999.   W..  0    892-81
1991-03-02 01:50 9999-99-99 99:99    181.090 -9999 -99999.   W..  0   1336-81
1991-03-02 01:50 9999-99-99 99:99    181.400 -9999 -99999.   W..  0   1336-81
1991-03-08 20:45 9999-99-99 99:99    200.260 -9999 -99999.   W..  0     68-81
1991-03-08 20:45 9999-99-99 99:99    197.360 -9999 -99999.   W..  0     68-81
1991-03-15 22:15 9999-99-99 99:99 -99999.999 -9999 -99999.   *..  0   1052-81
1991-03-15 22:15 9999-99-99 99:99    208.210 -9999 -99999.   W..  0   1052-81
1991-03-23 23:20 9999-99-99 99:99    221.870 -9999 -99999.   W..  0   1147-81
1991-03-23 23:20 9999-99-99 99:99    221.100 -9999 -99999.   W..  0   1147-81
1991-03-23 23:20 9999-99-99 99:99    271.250 -9999 -99999.   W.C  0   1148-81
1991-04-01 23:20 9999-99-99 99:99    216.960 -9999 -99999.   W..  0   1380-81
1991-04-01 23:20 9999-99-99 99:99    221.120 -9999 -99999.   W..  0   1380-81
1991-04-22 23:50 9999-99-99 99:99    235.240 -9999 -99999.   W.C  0   1182-81
1991-04-22 23:50 9999-99-99 99:99    234.540 -9999 -99999.   W.C  0   1182-81
1991-04-22 23:50 9999-99-99 99:99    199.450 -9999 -99999.   W..  0   1256-81
1991-04-22 23:50 9999-99-99 99:99    202.690 -9999 -99999.   W..  0   1256-81
1991-05-13 23:00 9999-99-99 99:99    190.480 -9999 -99999.   W..  0    580-81
1991-05-13 23:00 9999-99-99 99:99    191.560 -9999 -99999.   W..  0    580-81
