C01 TITLE: CO event sampling data 
C02 FILE NAME: arh777s00.niwa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 343
C05 HEADER LINES: 32
C06 DATA VERSION: 201708
C07 STATION NAME: Arrival Heights 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: New Zealand
C11 CONTRIBUTOR: NIWA
C12 LATITUDE: -77.8
C13 LONGITUDE: 166.67
C14 ALTITUDE: 184
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 5
C17 CONTACT POINT: gordon.brailsford@niwa.co.nz sylvia.nichol@niwa.co.nz
C18 PARAMETER: CO
C19 COVERING PERIOD: 1998-08-15 2016-02-18
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (other)
C23 SAMPLING TYPE: flask
C24 TIME ZONE: Local time UTC+12
C25 MEASUREMENT SCALE: WMOx2014A scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
1998-08-15 15:48 9999-99-99 99:99       66.1     5     1.7     0  0 -99999999
1998-08-17 16:03 9999-99-99 99:99       75.7     5     1.9     0  0 -99999999
1998-09-11 14:50 9999-99-99 99:99       69.6     5     1.0     0  0 -99999999
1998-09-11 15:45 9999-99-99 99:99       85.9     5     2.0     0  0 -99999999
1998-10-30 16:51 9999-99-99 99:99       64.2     5     1.6     0  0 -99999999
1998-10-30 17:28 9999-99-99 99:99       79.2     5     1.9     0  0 -99999999
1998-11-17 10:20 9999-99-99 99:99       62.5     5     0.4     0  0 -99999999
1998-11-17 12:09 9999-99-99 99:99       68.5     5     1.2     0  0 -99999999
1998-12-22 22:10 9999-99-99 99:99       62.1     5     1.5     0  0 -99999999
1998-12-22 23:46 9999-99-99 99:99       46.2     5     1.5     0  0 -99999999
1999-01-19 00:10 9999-99-99 99:99       45.1     5     1.1     0  0 -99999999
1999-01-19 02:06 9999-99-99 99:99       50.8     5     1.2     0  0 -99999999
1999-03-29 15:10 9999-99-99 99:99       43.5     5     0.6     0  0 -99999999
1999-03-29 15:55 9999-99-99 99:99       47.6     5     1.0     0  0 -99999999
1999-04-15 01:16 9999-99-99 99:99       42.3     5     0.9     0  0 -99999999
1999-04-28 17:50 9999-99-99 99:99       44.6     5     0.9     0  0 -99999999
1999-05-12 04:50 9999-99-99 99:99       44.1     5     0.7     0  0 -99999999
1999-05-12 05:35 9999-99-99 99:99       57.3     5     1.8     0  0 -99999999
1999-06-01 23:23 9999-99-99 99:99       49.6     5     1.4     0  0 -99999999
1999-06-02 00:04 9999-99-99 99:99       57.6     5     1.6     0  0 -99999999
1999-06-19 13:07 9999-99-99 99:99       53.8     5     1.7     0  0 -99999999
1999-06-19 13:55 9999-99-99 99:99       61.3     5     1.1     0  0 -99999999
1999-07-19 17:05 9999-99-99 99:99       58.0     5     1.4     0  0 -99999999
1999-07-19 17:45 9999-99-99 99:99       67.5     5     1.5     0  0 -99999999
1999-08-03 18:20 9999-99-99 99:99       62.6     5     1.0     0  0 -99999999
1999-08-16 99:99 9999-99-99 99:99       59.0     5     1.6     0  0 -99999999
1999-08-28 16:30 9999-99-99 99:99       63.2     5     1.6     0  0 -99999999
