C01 TITLE: CO event sampling data 
C02 FILE NAME: mkn100s00.noaa.as.fl.co.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 354
C05 HEADER LINES: 38
C06 DATA VERSION: 201708
C07 STATION NAME: Mt. Kenya 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: Kenya
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: -0.062
C13 LONGITUDE: 37.297
C14 ALTITUDE: 3678
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: paul.c.novelli@noaa.gov
C18 PARAMETER: CO
C19 COVERING PERIOD: 2003-12-23 2011-06-21
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: GC-HgO 
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: WMO CO scale
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: Kenya Meteorological Department [KMD]
C37 # comment: 
C38   DATE  TIME       DATE  TIME         CO    ND      SD     F CS       REM
2003-12-23 13:15 9999-99-99 99:99    106.040 -9999 -99999.   ...  0   1113-91
2003-12-23 13:15 9999-99-99 99:99    106.200 -9999 -99999.   ...  0   1114-91
2003-12-30 09:10 9999-99-99 99:99     98.560 -9999 -99999.   ...  0   1627-91
2003-12-30 09:10 9999-99-99 99:99     98.950 -9999 -99999.   ...  0   1628-91
2004-01-07 07:40 9999-99-99 99:99    135.220 -9999 -99999.   ...  0   4017-91
2004-01-07 07:40 9999-99-99 99:99    134.300 -9999 -99999.   ...  0   4018-91
2004-01-13 11:40 9999-99-99 99:99    119.080 -9999 -99999.   ...  0   1587-91
2004-01-13 11:40 9999-99-99 99:99    119.440 -9999 -99999.   ...  0   1588-91
2004-01-20 09:28 9999-99-99 99:99    127.440 -9999 -99999.   ...  0   6365-66
2004-01-20 09:28 9999-99-99 99:99    127.140 -9999 -99999.   ...  0   6366-66
2004-01-27 13:10 9999-99-99 99:99    113.590 -9999 -99999.   ...  0   6147-66
2004-01-27 13:10 9999-99-99 99:99    113.710 -9999 -99999.   ...  0   6148-66
2004-02-03 10:45 9999-99-99 99:99    223.170 -9999 -99999.   .N.  0   4455-91
2004-02-03 10:45 9999-99-99 99:99    222.560 -9999 -99999.   .N.  0   4456-91
2004-03-24 12:42 9999-99-99 99:99    129.940 -9999 -99999.   ...  0   4163-91
2004-03-24 12:42 9999-99-99 99:99    130.730 -9999 -99999.   ...  0   4164-91
2004-03-30 10:08 9999-99-99 99:99    127.130 -9999 -99999.   P..  0   2617-99
2004-03-30 10:08 9999-99-99 99:99    121.290 -9999 -99999.   P..  0   2618-99
2004-04-06 10:29 9999-99-99 99:99     91.670 -9999 -99999.   ...  0   2611-99
2004-04-06 10:29 9999-99-99 99:99     91.810 -9999 -99999.   ...  0   2612-99
2004-04-20 11:18 9999-99-99 99:99     84.800 -9999 -99999.   ...  0   1859-99
2004-04-20 11:18 9999-99-99 99:99     84.760 -9999 -99999.   ...  0   1860-99
